bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
320508,בְּפִ֥יו יְבָרֵ֑כוּ ,xYq0,yqtl,Main,Q,סֶֽלָה׃ ,MSyn,Ø,Main,Q
320525,אַךְ־ה֣וּא צ֭וּרִי וִֽישׁוּעָתִ֑י ,NmCl,Ø,Main,Q,,,,,
320566,שִׁפְכֽוּ־לְפָנָ֥יו לְבַבְכֶ֑ם ,ZIm0,impv,Main,Q,וּבְגָזֵ֪ל אַל־תֶּ֫הְבָּ֥לוּ ,WxY0,yqtl,Main,Q
320573,אַל־תִּבְטְח֣וּ בְעֹשֶׁק֮ ,xYq0,yqtl,Main,Q,,,,,
320576,חַ֤יִל׀ ,Defc,Ø,Main,Q,,,,,
320578,חַ֤יִל׀ ,Defc,Ø,Main,Q,,,,,
320596,וּלְךָֽ־,NmCl,Ø,SubAdv,Q,,,,,
320612,אֵלִ֥י אַתָּ֗ה ,NmCl,Ø,Main,Q,צָמְאָ֬ה לְךָ֨׀ נַפְשִׁ֗י ,ZQtX,qtl,Main,Q
320642,כִּי־טֹ֣וב חַ֭סְדְּךָ מֵֽחַיִּ֗ים ,AjCl,Ø,SubAdv,Q,כֵּ֣ן אֲבָרֶכְךָ֣ בְחַיָּ֑י ,xYq0,yqtl,Main,Q
320644,שְׂפָתַ֥י יְשַׁבְּחֽוּנְךָ׃ ,XYqt,yqtl,Main,Q,בְּ֝שִׁמְךָ אֶשָּׂ֥א כַפָּֽי׃ ,xYq0,yqtl,Main,Q
320649,כֵּ֣ן אֲבָרֶכְךָ֣ בְחַיָּ֑י ,xYq0,yqtl,Main,Q,,,,,
320655,שְׂפָתַ֥י יְשַׁבְּחֽוּנְךָ׃ ,XYqt,yqtl,Main,Q,וְשִׂפְתֵ֥י רְ֝נָנֹ֗ות יְהַלֶּל־פִּֽי׃ ,WxYX,yqtl,Main,Q
320660,כְּמֹ֤ו חֵ֣לֶב וָ֭דֶשֶׁן תִּשְׂבַּ֣ע נַפְשִׁ֑י ,xYqX,yqtl,Main,Q,,,,,
320668,אִם־זְכַרְתִּ֥יךָ עַל־יְצוּעָ֑י ,xQt0,qtl,SubAdv,Q,,,,,
320678,כִּֽי־הָיִ֣יתָ עֶזְרָ֣תָה לִּ֑י ,xQt0,qtl,SubAdv,Q,,,,,
320689,אֵלִ֥י אַתָּ֗ה ,NmCl,Ø,Main,Q,יָ֝בֹ֗אוּ בְּֽתַחְתִּיֹּ֥ות הָאָֽרֶץ׃ ,ZYq0,yqtl,Main,Q
320691,וְהֵ֗מָּה לְ֭שֹׁואָה יְבַקְשׁ֣וּ נַפְשִׁ֑י ,WXYq,yqtl,Main,Q,יַגִּירֻ֥הוּ עַל־יְדֵי־חָ֑רֶב ,ZYq0,yqtl,Main,Q
320696,יָ֝בֹ֗אוּ בְּֽתַחְתִּיֹּ֥ות הָאָֽרֶץ׃ ,ZYq0,yqtl,Main,Q,,,,,
320702,יָ֝בֹ֗אוּ בְּֽתַחְתִּיֹּ֥ות הָאָֽרֶץ׃ ,ZYq0,yqtl,Main,Q,,,,,
320706,אֵלִ֥י אַתָּ֗ה ,NmCl,Ø,Main,Q,יִ֭תְהַלֵּל כָּל־,ZYqX,yqtl,Main,Q
320709,וְהַמֶּלֶךְ֮ יִשְׂמַ֪ח בֵּאלֹ֫הִ֥ים ,WXYq,yqtl,Main,Q,הַנִּשְׁבָּ֣ע בֹּ֑ו ,Ptcp,ptcp,SubMod,Q
320715,וְהַמֶּלֶךְ֮ יִשְׂמַ֪ח בֵּאלֹ֫הִ֥ים ,WXYq,yqtl,Main,Q,,,,,
320733,שְׁמַע־,ZIm0,impv,Main,Q,תַּ֭סְתִּירֵנִי מִסֹּ֣וד מְרֵעִ֑ים ,ZYq0,yqtl,Main,Q
320735,מִפַּ֥חַד אֹ֝ויֵ֗ב תִּצֹּ֥ר חַיָּֽי׃ ,xYq0,yqtl,Main,Q,מֵ֝רִגְשַׁ֗ת פֹּ֣עֲלֵי אָֽוֶן׃ ,Ellp,Ø,Main,Q
320760,תַּ֭סְתִּירֵנִי מִסֹּ֣וד מְרֵעִ֑ים ,ZYq0,yqtl,Main,Q,וְלֹ֣א יִירָֽאוּ׃ ,WxY0,yqtl,Main,Q
320763,פִּתְאֹ֥ם יֹ֝רֻ֗הוּ ,xYq0,yqtl,Main,Q,,,,,
320764,פִּתְאֹ֥ם יֹ֝רֻ֗הוּ ,xYq0,yqtl,Main,Q,יְֽ֭סַפְּרוּ ,ZYq0,yqtl,Main,Q
320768,יְחַזְּקוּ־לָ֨מֹו׀ דָּ֘בָ֤ר רָ֗ע ,ZYq0,yqtl,Main,Q,לִטְמֹ֣ון מֹוקְשִׁ֑ים ,InfC,infc,SubAdv,Q
320774,אָ֝מְר֗וּ ,ZQt0,qtl,Main,Q,,,,,
320776,יְֽ֭סַפְּרוּ ,ZYq0,yqtl,Main,Q,תַּ֭מְנוּ חֵ֣פֶשׂ מְחֻפָּ֑שׂ ,ZQt0,qtl,Main,Q
320798,עָלֵ֣ימֹו לְשֹׁונָ֑ם ,NmCl,Ø,Main,N,רֹ֥אֵה בָֽם׃ ,Ptcp,ptcp,SubMod,D
320813,,,,,,וְחָ֣סָה בֹ֑ו ,WQt0,wqtl,Main,Q
320821,יִשְׂמַ֬ח צַדִּ֣יק בַּ֭יהוָה ,ZYqX,yqtl,Main,Q,,,,,
320840,לְךָ֤ דֻֽמִיָּ֬ה תְהִלָּ֓ה ,NmCl,Ø,Main,Q,,,,,
320847,שֹׁמֵ֥עַ תְּפִלָּ֑ה ,Voct,Ø,Main,Q,דִּבְרֵ֣י עֲ֭וֹנֹת גָּ֣בְרוּ מֶ֑נִּי ,XQtl,qtl,Main,Q
320854,פְּ֝שָׁעֵ֗ינוּ ,CPen,Ø,Main,Q,,,,,
320856,אַשְׁרֵ֤י׀ ,NmCl,Ø,Main,Q,וּתְקָרֵב֮ ,WYq0,yqtl,Main,Q
320858,תִּֽבְחַ֣ר ,ZYq0,yqtl,SubArg,Q,,,,,
