eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
IMPV ~ MOD should,p3,2,1,0,1,0,0,0,0,0,0,0,0
PAST ~ TO INF,p1,2,0,1,0,0,0,1,0,0,0,0,0
MOD might ~ PAST,p3,2,0,0,0,0,0,0,1,1,0,0,0
MOD might ~ TO INF,p1,2,1,0,0,0,0,0,1,0,0,0,0
IMPV ~ PAST,p3,2,0,0,1,0,1,0,0,0,0,0,0
MOD can ~ MOD could,p1,2,1,1,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,p1,2,2,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,p2,2,0,2,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,p2,2,2,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,p3,2,0,1,0,1,0,0,0,0,0,0,0
MOD lest ~ MOD may,p2,2,2,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,p3,2,1,0,0,0,0,0,1,0,0,0,0
MOD lest ~ MOD let,p3,2,0,1,0,0,1,0,0,0,0,0,0
MOD lest ~ TO INF,p3,2,1,0,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,p2,2,0,0,0,0,0,2,0,0,0,0,0
PRES PROG,p3,2,1,0,0,0,1,0,0,0,0,0,0
MOD is to ~ MOD must,p3,2,1,0,0,1,0,0,0,0,0,0,0
MOD is to ~ MOD must,p1,2,2,0,0,0,0,0,0,0,0,0,0
MOD lest,p2,2,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,p3,2,0,1,1,0,0,0,0,0,0,0,0
MOD that be,p3,2,0,0,0,0,1,0,1,0,0,0,0
MOD let ~ MOD would,p1,2,0,0,0,0,0,2,0,0,0,0,0
MOD let ~ MOD that be,p3,2,0,0,1,0,0,0,0,0,1,0,0
FUT ~ PAST,p2,2,0,1,0,0,0,1,0,0,0,0,0
MOD lest ~ MOD should,p3,2,1,0,1,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,p2,2,1,0,0,0,0,0,1,0,0,0,0
MOD let ~ PRES PERF,p3,2,0,0,0,0,0,1,0,1,0,0,0
MOD let ~ PRES PERF,p1,2,0,1,0,0,0,1,0,0,0,0,0
MOD could ~ MOD should,p3,2,2,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,p3,1,0,0,0,1,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,p3,1,0,0,0,1,0,0,0,0,0,0,0
HAB used to ~ PRES,p3,1,0,0,1,0,0,0,0,0,0,0,0
HAB used to ~ PRES PERF,p3,1,0,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD lest,p2,1,1,0,0,0,0,0,0,0,0,0,0
IMPV,p1,1,0,1,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,p3,1,0,0,1,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,p2,1,0,0,0,0,1,0,0,0,0,0,0
FUT PERF,p3,1,0,1,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,p3,1,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES shall,p2,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,p3,1,0,0,0,0,1,0,0,0,0,0,0
IMPV not ~ MOD must,p3,1,0,0,0,0,1,0,0,0,0,0,0
PRES PART ~ TO INF,p2,1,0,1,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,p1,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD,p3,1,0,0,0,0,0,0,1,0,0,0,0
HAB used to ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,p1,1,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,p1,1,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES can,p3,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,p3,1,0,0,1,0,0,0,0,0,0,0,0
PAST ~ TO INF,p2,1,0,0,0,0,0,1,0,0,0,0,0
FUT ~ MOD,p3,1,0,0,0,1,0,0,0,0,0,0,0
PAST ~ PRES PART,p2,1,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,p1,1,0,1,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,p3,1,0,0,0,0,1,0,0,0,0,0,0
PRES PART ~ PRES PERF,p1,1,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,p2,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD was to,p1,1,0,0,0,0,0,0,1,0,0,0,0
FUT ~ FUT PERF,p1,1,0,0,0,0,0,1,0,0,0,0,0
FUT going-to ~ MOD shall,p3,1,0,0,0,0,0,0,1,0,0,0,0
FUT PROG ~ PRES,p3,1,0,0,0,0,1,0,0,0,0,0,0
FUT ~ MOD is to,p2,1,0,0,1,0,0,0,0,0,0,0,0
FUT going-to ~ MOD may,p1,1,0,0,0,0,0,0,1,0,0,0,0
PRES PART ~ PRES PERF,p3,1,1,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,p3,1,0,0,1,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,p1,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,p3,1,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,p3,1,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,p3,1,0,0,0,0,1,0,0,0,0,0,0
PAST ~ PAST PROG,p2,1,1,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,p3,1,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,p3,1,0,0,1,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,p2,1,0,1,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ VB,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD should ~ MOD would,p1,1,0,0,0,0,0,1,0,0,0,0,0
MOD let ~ PAST,p2,1,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that,p3,1,0,0,0,0,0,0,1,0,0,0,0
MOD should ~ MOD would,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,p2,1,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,p3,1,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ MOD may,p2,1,0,0,0,0,0,1,0,0,0,0,0
MOD should ~ PRES PART,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD lest ~ PRES,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,p3,1,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD is to ~ TO INF,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PROG,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,p2,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,p1,1,0,0,1,0,0,0,0,0,0,0,0
MOD must ~ TO INF,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ PRES shall,p2,1,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,p2,1,0,0,0,0,0,0,1,0,0,0,0
MOD must ~ PRES PART,p2,1,0,0,0,0,1,0,0,0,0,0,0
MOD must ~ MOD should,p3,1,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,p1,1,0,0,0,0,0,0,1,0,0,0,0
