eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD can ~ MOD should,p3,1.5,inf,0.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,p1,inf,inf,inf,inf,inf,1.5,0.67,inf,inf,inf,inf
MOD lest,p3,1.5,inf,4.0,inf,inf,inf,1.5,inf,inf,inf,inf
MOD may ~ MOD must,p2,1.5,0.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,p3,inf,4.0,4.0,4.0,4.0,inf,inf,4.0,inf,inf,inf
MOD lest ~ PRES,p3,1.5,1.5,inf,inf,inf,inf,inf,inf,4.0,inf,inf
PRES ~ PRES PROG,p2,0.67,inf,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,p3,4.0,inf,4.0,4.0,4.0,inf,inf,inf,4.0,inf,inf
IMPV ~ MOD should,p2,1.5,0.67,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,p3,1.5,inf,4.0,inf,4.0,inf,4.0,inf,inf,inf,inf
MOD could ~ PAST,p3,4.0,1.5,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,p3,1.5,4.0,inf,inf,1.5,inf,inf,inf,inf,inf,inf
MOD was to,p3,4.0,4.0,inf,4.0,1.5,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,p1,0.67,4.0,inf,inf,inf,inf,4.0,inf,inf,inf,inf
MOD should ~ TO INF,p2,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,p3,0.67,inf,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
HAB used to,p3,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,p1,3.0,3.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD can ~ PAST,p3,inf,3.0,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,p3,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD would ~ PRES,p1,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ TO INF,p2,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,p3,1.0,inf,inf,3.0,inf,inf,inf,inf,3.0,inf,inf
FUT ~ PRES PROG,p1,1.0,inf,inf,inf,inf,3.0,3.0,inf,inf,inf,inf
FUT ~ MOD should,p2,0.33,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,p3,inf,inf,inf,3.0,1.0,3.0,inf,inf,inf,inf,inf
MOD VB ~ PRES,p3,1.0,inf,3.0,inf,3.0,inf,inf,inf,inf,inf,inf
MOD let,p2,1.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD must ~ PRES,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,p3,3.0,3.0,3.0,inf,inf,inf,inf,inf,3.0,inf,inf
MOD may ~ PRES,p1,1.0,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD could ~ MOD would,p3,1.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,p1,0.33,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf
FUT ~ PAST,p1,3.0,1.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD must ~ MOD shall,p1,1.0,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf
MOD can ~ TO INF,p3,3.0,3.0,inf,3.0,inf,inf,3.0,inf,inf,inf,inf
MOD lest ~ MOD might,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,p3,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,p1,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,p3,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,p1,2.0,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
FUT ~ MOD that be,p3,inf,2.0,inf,inf,inf,inf,inf,inf,0.5,inf,inf
FUT ~ PRES PART,p2,2.0,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
?VB ~ PAST,p3,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,p2,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,p3,inf,inf,inf,inf,0.5,inf,inf,inf,2.0,inf,inf
MOD shall ~ PRES PERF,p2,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,p1,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,p1,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,p1,inf,inf,inf,inf,inf,2.0,0.5,inf,inf,inf,inf
FUT ~ PRES PERF,p1,0.5,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf
PAST ~ PAST PERF,p1,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,p3,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,2.0,inf
MOD might ~ MOD should,p3,2.0,inf,2.0,inf,inf,inf,inf,inf,2.0,inf,inf
MOD might ~ PAST,p1,2.0,inf,inf,inf,inf,inf,0.5,inf,inf,inf,inf
MOD might ~ TO INF,p3,2.0,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,p1,0.5,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf
FUT ~ MOD is to,p3,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,p1,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
MOD let ~ PRES,p1,inf,2.0,inf,inf,inf,2.0,2.0,inf,inf,inf,inf
IMPV ~ MOD lest,p3,inf,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,p1,2.0,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD let ~ MOD would,p3,inf,inf,inf,inf,2.0,inf,inf,0.5,inf,inf,inf
MOD can ~ MOD let,p1,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
