bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
311579,ψαλῶ,future,active,indc,1,sg,PSA 9:3,future indc
311696,ἐξαγγείλω,aorist,active,subj,1,sg,PSA 9:15,aorist subj
311703,ἀγαλλιάσομαι,future,middle,indc,1,sg,PSA 9:15,future indc
312211,ᾄσω,future,active,indc,1,sg,PSA 12:6,future indc
312640,χορτασθήσομαι,future,passsive,indc,1,sg,PSA 16:15,future indc
313158,ψαλῶ,future,active,indc,1,sg,PSA 17:50,future indc
313381,ἀγαλλιασόμεθα,future,middle,indc,1,pl,PSA 19:6,future indc
313568,ᾄσομεν,future,middle,indc,1,pl,PSA 20:14,future indc
313570,ψαλοῦμεν,future,active,indc,1,pl,PSA 20:14,future indc
313776,διηγήσομαι,future,middle,indc,1,sg,PSA 21:23,future indc
314089,καταισχυνθείην,aorist,passsive,optv,1,sg,PSA 24:2,aorist optv
314331,κυκλώσω,future,active,indc,1,sg,PSA 25:6,future indc
314479,ἔθυσα,aorist,active,indc,1,sg,PSA 26:6,aorist indc
314484,ᾄσομαι,future,middle,indc,1,sg,PSA 26:6,future indc
314486,ψαλῶ,future,active,indc,1,sg,PSA 26:6,future indc
314950,καταισχυνθείην,aorist,passsive,optv,1,sg,PSA 30:2,aorist optv
315010,ἀγαλλιάσομαι,future,middle,indc,1,sg,PSA 30:8,future indc
315012,εὐφρανθήσομαι,future,passsive,indc,1,sg,PSA 30:8,future indc
315132,καταισχυνθείην,aorist,passsive,optv,1,sg,PSA 30:18,aorist optv
315322,ἐπιστηριῶ,future,active,indc,1,sg,PSA 31:8,future indc
315594,εὐλογήσω,future,active,indc,1,sg,PSA 33:2,future indc
315617,ὑψώσωμεν,aorist,active,subj,1,pl,PSA 33:4,aorist subj
316840,ἐθέμην,aorist,middle,indc,1,sg,PSA 38:2,aorist indc
316846,ἐθέμην,aorist,middle,indc,1,sg,PSA 38:2,aorist indc
316882,γνῶ,aorist,active,subj,1,sg,PSA 38:5,aorist subj
316986,ἀναψύξω,future,active,indc,1,sg,PSA 38:14,future indc
317067,ἀπήγγειλα,aorist,active,indc,1,sg,PSA 39:6,aorist indc
317069,ἐλάλησα,aorist,active,indc,1,sg,PSA 39:6,aorist indc
317337,ἀνταποδώσω,future,active,indc,1,sg,PSA 40:11,future indc
317423,ἐμνήσθην,aorist,passsive,indc,1,sg,PSA 41:5,aorist indc
317425,ἐξέχεα,aorist,active,indc,1,sg,PSA 41:5,aorist indc
317500,ἐρῶ,future,active,indc,1,sg,PSA 41:10,future indc
317584,εἰσελεύσομαι,future,middle,indc,1,sg,PSA 42:4,future indc
318063,μνησθήσονται,future,passsive,indc,3,pl,PSA 44:18,future indc
318705,λαλήσω,future,active,indc,1,sg,PSA 49:7,future indc
318708,διαμαρτύρομαί,present,middle,indc,1,sg,PSA 49:7,present indc
318843,παραστήσω,future,active,indc,1,sg,PSA 49:21,future indc
319000,διδάξω,future,active,indc,1,sg,PSA 50:15,future indc
319028,ἔδωκα,aorist,active,indc,1,sg,PSA 50:18,aorist indc
319342,θύσω,future,active,indc,1,sg,PSA 53:8,future indc
319383,ἐταράχθην,aorist,passsive,indc,1,sg,PSA 54:3,aorist indc
319425,πετασθήσομαι,future,passsive,indc,1,sg,PSA 54:7,future indc
319427,καταπαύσω,future,active,indc,1,sg,PSA 54:7,future indc
319436,προσεδεχόμην,imperfect,middle,indc,1,sg,PSA 54:9,imperfect indc
319534,διηγήσομαι,future,middle,indc,1,sg,PSA 54:18,future indc
319825,ἐκοιμήθην,aorist,passsive,indc,1,sg,PSA 56:5,aorist indc
319866,ᾄσομαι,future,middle,indc,1,sg,PSA 56:8,future indc
319868,ψαλῶ,future,active,indc,1,sg,PSA 56:8,future indc
319876,ἐξεγερθήσομαι,future,passsive,indc,1,sg,PSA 56:9,future indc
320133,φυλάξω,future,active,indc,1,sg,PSA 58:10,future indc
320232,ψαλῶ,future,active,indc,1,sg,PSA 58:18,future indc
320309,ἀγαλλιάσομαι,future,middle,indc,1,sg,PSA 59:8,future indc
320310,διαμεριῶ,future,active,indc,1,sg,PSA 59:8,future indc
320408,παροικήσω,future,active,indc,1,sg,PSA 60:5,future indc
