eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES.PERF.IND,_KJ_SOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ_SAV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ_OAV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_AV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ_ASV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>W_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST..IND,RAV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_SV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,SV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PAST..IND,SAOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,OV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_KJ_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ_AVV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>M_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,SAV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>LW_AV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,ROV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
