clause_rela,prec_part,sum
Main,_KJ_>T==_,1
SubArg,_W_,1
SubMod,_<L_,1
SubAdv,_W_>M_XRC[_,1
SubAdv,_KJ_B_HW>_,1
Main,_GM_<L_,1
SubAdv,_KJ_>M_MN_W_,1
SubAdv,_KJ_CLM[_,1
Main,_CQY[_,1
SubMod,_>CR_JXDW_,1
Main,_CMR[_,1
Main,_CM<[_,1
Main,_CLX[_,1
Main,_GM_<FH[_,1
Main,_GM_>LH_,1
Main,_GM_QBB[_,1
SubAdv,_KJ_B_B_,1
Main,_GM_MWT[_,1
Main,_GM_MN_>T==_ZH_,1
Main,_GM_MN_,1
SubArg,_>JKH_,1
Main,_GM_K_,1
Main,_>K_>L_W_>L_,1
Main,_>K_<L_,1
Main,_>KN_K_,1
SubAdv,_KJ_CTH[_,1
Main,_B_MN_L_,1
SubAdv,_KJ_DRC[_,1
Main,_B_L_L_,1
Main,_B_L_B_MN_<D_,1
SubAdv,_KJ_GLH[_,1
Main,_B_JXDW_,1
SubAdv,_KJ_GM_<M_,1
SubMod,_>CR_L_,1
SubAdv,_KJ_GM_>T_W_>T_,1
Main,_BJN[_,1
Main,_BJN/_W_L_,1
SubAdv,_KJ_JKL[_,1
SubAdv,_W_GM_>M_,1
SubAdv,_W_JRC[_,1
SubAdv,_KJ_KH_,1
SubAdv,_J<N/_B_W_B_,1
Main,_B_W_B_W_B_,1
SubAdv,_KJ_W_W_,1
Main,_B_W_L_B_,1
SubMod,_>CR_PT>M_L_,1
SubAdv,_KJ_K_W_K_JXDW_,1
Main,_BWZ[_,1
SubAdv,_KJ_HRG[_,1
Main,_BRK[_,1
SubAdv,_KJ_HRS[_,1
Main,_BQQ[_,1
Main,_BMW_,1
SubAdv,_KJ_JD<[_,1
Main,_B_B_W_B_W_B_W_B_W_B_<WD/_,1
Main,_B_B_ZH_BJN/_,1
Main,_B_HMH_,1
SubAdv,_KJ_GM_L_,1
SubAdv,_KJ_CMD[_,1
SubAdv,_W_>M_XRH[_,1
SubAdv,_KJ_KKH_,1
SubAdv,_KJ_TPF[_,1
SubAdv,_W_JXD/_,1
SubMod,_BJN/_,1
SubAdv,_W_CM_,1
Main,_>XLJ_,1
Main,_>W_MJ_,1
Main,_>W_MH_MN_,1
SubAdv,_KJ_KBD[_,1
Main,_>W_L_,1
Main,_>W_K_,1
Main,_>W_H=_,1
Main,_>W_B_,1
SubAdv,_JWMM_W_LJLH/_,1
Main,_LJLH/_W_JWMM_,1
Main,_K_MXR/_,1
Main,_W_B_W_B_W_B_,1
SubAdv,_>CR_LMH_,1
SubAdv,_>CR_MJ_,1
SubAdv,_KJ_JXD/_,1
Main,_>Z_B_,1
Main,_>T_>LH_MN_,1
Main,_>Z_MN_,1
SubMod,_H_,1
Main,_>T==_MN_,1
